path	category	training_tier	status	notes
aMiLa/amiga_sources/arcade-game-selector	applications	2	imported	Makefile-backed selector app.
aMiLa/amiga_sources/artpro	applications	4	imported	Larger application/archive; targeted use only.
aMiLa/amiga_sources/assemble-amiga	toolchains	3	imported	Assembler source; valuable for toolchain tasks.
aMiLa/amiga_sources/atarenium-falcon	games	2	imported	Game source with multiple source files.
aMiLa/amiga_sources/awesome-amiga	reference	3	imported	Curated list/reference docs, not source-heavy training.
aMiLa/amiga_sources/batman-amiga	games	4	imported	Game source/recovery material; targeted use only.
aMiLa/amiga_sources/chaos-arena	games	2	imported	Game project; useful second-tier corpus.
aMiLa/amiga_sources/clib2	libraries	3	imported	Runtime/library source; sample carefully.
aMiLa/amiga_sources/complete-ndk39	libraries	3	imported	NDK material; include docs/headers selectively.
aMiLa/amiga_sources/diskmaster2	applications	4	imported	Larger application; targeted use only.
aMiLa/amiga_sources/dos2dos	tools	3	imported	Disk/filesystem utility; useful reference.
aMiLa/amiga_sources/flappy-ace-win	games	2	imported	Small game project; useful after tutorials.
aMiLa/amiga_sources/germz	games	2	imported	Game project; useful second-tier corpus.
aMiLa/amiga_sources/goblin-villages	games	2	imported	Game project; useful second-tier corpus.
aMiLa/amiga_sources/hamazing	games	2	imported	Small game/demo project.
aMiLa/amiga_sources/hello-ami	learning	1	curated	Hello-world style Amiga project; preferred training source.
aMiLa/amiga_sources/hello-bars	asm-demos	1	curated	Small visual demo; good first-pass effects corpus.
aMiLa/amiga_sources/hippoplayer	applications	4	imported	Player application; sample selectively.
aMiLa/amiga_sources/identify	tools	3	imported	Hardware identification utility; useful reference.
aMiLa/amiga_sources/impsbru	applications	3	imported	Application/archive; moderate reference value.
aMiLa/amiga_sources/joy-ride1	games	2	imported	Small game/demo project.
aMiLa/amiga_sources/ld40-squared	games	2	imported	Game project; useful second-tier corpus.
aMiLa/amiga_sources/m68k-amigaos-gcc	toolchains	3	imported	Cross compiler/toolchain material; sample selectively.
aMiLa/amiga_sources/m68k-elf-gcc	toolchains	3	imported	Cross compiler/toolchain material; sample selectively.
aMiLa/amiga_sources/mac2dos	tools	3	imported	Conversion utility/source; useful reference.
aMiLa/amiga_sources/menace-amiga-format	games	4	imported	Game-source reference; targeted use only.
aMiLa/amiga_sources/milky-tracker	applications	4	imported	Large tracker application; sample selectively.
aMiLa/amiga_sources/misc-asm-68k-amiga-ocs	learning	1	curated	Small OCS assembly examples; preferred corpus.
aMiLa/amiga_sources/mod1	asm-demos	2	uncurated	Music/module demo source; inspect assets.
aMiLa/amiga_sources/muidev	c-examples	2	imported	MUI development examples/reference.
aMiLa/amiga_sources/newstartup	tools	3	imported	Startup/system utility; useful reference.
aMiLa/amiga_sources/no-cpu-challenge	asm-demos	2	imported	Constrained demo/challenge source.
aMiLa/amiga_sources/open-fire	games	2	imported	Game project with makefile; useful corpus.
aMiLa/amiga_sources/pdalink	applications	3	imported	Application/archive; moderate reference value.
aMiLa/amiga_sources/phantom-fighter	games	3	imported	Game source with design/conversion docs.
aMiLa/amiga_sources/rainbow	asm-demos	1	curated	Small visual demo; good first-pass effects corpus.
aMiLa/amiga_sources/sdl	libraries	3	imported	Library/port material; sample headers/docs first.
aMiLa/amiga_sources/sfdc	tools	3	uncurated	System/file utility source; inspect before ingestion.
aMiLa/amiga_sources/tutorials	learning	1	curated	Tutorial material; preferred corpus after inspection.
aMiLa/amiga_sources/uuid-lib	libraries	3	imported	Reusable library source.
aMiLa/amiga_sources/vasm	toolchains	3	imported	Assembler source; valuable but large/specialized.
aMiLa/amiga_sources/vbcc	toolchains	3	imported	Compiler source; valuable but large/specialized.
aMiLa/amiga_sources/vhscroll	asm-demos	1	curated	Compact assembly demo with build script; strong corpus candidate.
aMiLa/amiga_sources/vscode-amiga-assembly	toolchains	3	imported	VS Code extension; host tooling, not Amiga runtime corpus.
aMiLa/amiga_sources/vscode-amiga-debug	toolchains	3	imported	VS Code extension/debug toolchain; sample selectively.
aMiLa/amiga_sources/yam	applications	4	imported	Large mail application; targeted use only.
